"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Reported cases","N","1998-05","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-05","DK","Denmark",15.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","EL","Greece",26.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","ES","Spain",14.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","EU_EEA31","EU/EEA",1260.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","FR","France",18.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","IE","Ireland",16.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","IT","Italy",836.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-05","MT","Malta",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-05","NO","Norway",166.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","SE","Sweden",132.000000000,""
"Pertussis","All cases","Reported cases","N","1998-05","UK","United Kingdom",36.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-06","DK","Denmark",42.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","EL","Greece",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","ES","Spain",13.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","EU_EEA31","EU/EEA",1187.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","FR","France",15.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","IE","Ireland",20.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","IT","Italy",811.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-06","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1998-06","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-06","NO","Norway",141.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","PT","Portugal",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","SE","Sweden",112.000000000,""
"Pertussis","All cases","Reported cases","N","1998-06","UK","United Kingdom",32.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-07","DK","Denmark",35.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","EL","Greece",12.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","ES","Spain",11.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","EU_EEA31","EU/EEA",1193.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","FR","France",9.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","IE","Ireland",18.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","IT","Italy",780.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-07","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1998-07","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-07","NO","Norway",170.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","SE","Sweden",119.000000000,""
"Pertussis","All cases","Reported cases","N","1998-07","UK","United Kingdom",39.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-08","DK","Denmark",37.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","EL","Greece",25.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","ES","Spain",8.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","EU_EEA31","EU/EEA",1139.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","FR","France",14.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","IE","Ireland",19.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","IT","Italy",661.000000000,""
